,Website,Rank,Movie,Rating,Review,Genre
120,rotten tomatoes,21, Booksmart,9.6,Arrival delivers a must-see experience for fans of thinking person's sci-fi that anchors its heady themes with genuinely affecting emotion and a terrific performance from Amy Adams.,"[drama,scifi,mysteryandthriller]"
121,rotten tomatoes,22, A Night at the Opera,9.7,"Clever, incisive, and funny, Singin' in the Rain is a masterpiece of the classical Hollywood musical.","[comedy,musical]"
122,rotten tomatoes,23, Roma,9.5,"Arguably the first true horror film, The Cabinet of Dr. Caligari set a brilliantly high bar for the genre -- and remains terrifying nearly a century after it first stalked the screen.",[horror]
123,rotten tomatoes,24, The Third Man,9.9,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.","[fantasy,adventure,action]"
124,rotten tomatoes,25, Coco,9.7,"A dark, tautly constructed adaptation of James M. Cain's novel -- penned by Billy Wilder and Raymond Chandler -- Double Indemnity continues to set the standard for the best in Hollywood film noir.","[drama,crime]"
125,rotten tomatoes,26, Thor: Ragnarok,9.3,"The Favourite sees Yorgos Lanthimos balancing a period setting against rich, timely subtext - and getting roundly stellar performances from his well-chosen stars.","[drama,comedy]"
126,rotten tomatoes,27, The Shape of Water,9.2,"A breezily unpredictable blend of teen romance and superhero action, Spider-Man: Far from Home stylishly sets the stage for the next era of the MCU.","[fantasy,adventure,action,comedy]"
127,rotten tomatoes,28, Selma,9.9,"Playing as both an exciting sci-fi adventure and a remarkable portrait of childhood, Steven Spielberg's touching tale of a homesick alien remains a piece of movie magic for young and old.","[adventure,scifi,kidsandfamily]"
128,rotten tomatoes,29, Spotlight,9.7,"Charles Chaplin' irascible Tramp is given able support from Jackie Coogan as The Kid in this slapstick masterpiece, balancing the guffaws with moments of disarming poignancy.","[drama,comedy]"
129,rotten tomatoes,30, The Godfather,9.8,"Funny, heartfelt, and intelligent, The Big Sick uses its appealing leads and cross-cultural themes to prove the standard romcom formula still has some fresh angles left to explore.",[romance]
130,rotten tomatoes,31, La Grande illusion (Grand Illusion),9.7,Star Wars: The Last Jedi honors the saga's rich legacy while adding some surprising twists -- and delivering all the emotion-rich action fans could hope for.,"[fantasy,adventure,scifi,action]"
131,rotten tomatoes,32, Snow White and the Seven Dwarfs,9.8,"Smart, sophisticated, and devastatingly funny, All About Eve is a Hollywood classic that only improves with age.",[drama]
132,rotten tomatoes,33, Arrival,9.4,Alfred Hitchcock's earliest classic -- and his own personal favorite -- deals its flesh-crawling thrills as deftly as its finely shaded characters.,"[drama,mysteryandthriller,crime]"
133,rotten tomatoes,34, Singin' in the Rain,10.0,Paddington 2 honors its star's rich legacy with a sweet-natured sequel whose adorable visuals are matched by a story perfectly balanced between heartwarming family fare and purely enjoyable all-ages adventure.,"[adventure,kidsandfamily,comedy]"
134,rotten tomatoes,35, The Cabinet of Dr Caligari (Das Cabinet des Dr Caligari),9.8,"Errol Flynn thrills as the legendary title character, and the film embodies the type of imaginative family adventure tailor-made for the silver screen.","[adventure,action]"
135,rotten tomatoes,36, Logan,9.3,"Thrillingly unrestrained yet solidly crafted, Once Upon a Time in Hollywood tempers Tarantino's provocative impulses with the clarity of a mature filmmaker's vision.","[drama,comedy]"
136,rotten tomatoes,37, Double Indemnity,9.7,"Epic in technical scale but breathlessly intimate in narrative scope, Boyhood is a sprawling investigation of the human condition.",[drama]
137,rotten tomatoes,38, The Favourite,9.3,King Kong explores the soul of a monster -- making audiences scream and cry throughout the film -- in large part due to Kong's breakthrough special effects.,"[fantasy,adventure]"
138,rotten tomatoes,39, Spider-Man: Far From Home,9.1,"Manchester by the Sea delivers affecting drama populated by full-bodied characters, marking another strong step forward for writer-director Kenneth Lonergan.",[drama]
139,rotten tomatoes,40, ET The Extra-Terrestrial,9.8,"Tense, exciting, and often darkly comic, Argo recreates a historical event with vivid attention to detail and finely wrought characters.","[drama,mysteryandthriller,history]"
140,rotten tomatoes,41, The Kid,10.0,Leave No Trace takes an effectively low-key approach to a potentially sensationalistic story -- and further benefits from brilliant work by Ben Foster and Thomasin McKenzie.,[drama]
141,rotten tomatoes,42, The Big Sick,9.8,"It's far from comfortable viewing, but 12 Years a Slave's unflinchingly brutal look at American slavery is also brilliant -- and quite possibly essential -- cinema.","[biography,drama,history]"
142,rotten tomatoes,43, Star Wars: The Last Jedi,9.0,"One of the silent era's most influential masterpieces, Nosferatu's eerie, gothic feel -- and a chilling performance from Max Schreck as the vampire -- set the template for the horror films that followed.",[horror]
143,rotten tomatoes,44, All About Eve,9.9,"A modern classic, Alien blends science fiction, horror and bleak poetry into a seamless whole.","[horror,scifi]"
144,rotten tomatoes,45, Shadow of a Doubt,10.0,"La La Land breathes new life into a bygone genre with thrillingly assured direction, powerful performances, and an irresistible excess of heart.","[drama,romance,musical,comedy]"
145,rotten tomatoes,46, Paddington 2,10.0,"Incredibles 2 reunites Pixar's family crimefighting team for a long-awaited follow-up that may not quite live up to the original, but comes close enough to earn its name.","[comedy,kidsandfamily,animation,adventure,action]"
146,rotten tomatoes,47, The Adventures of Robin Hood,10.0,"Infamous for its shower scene, but immortal for its contribution to the horror genre. Because Psycho was filmed with tact, grace, and art, Hitchcock didn't just create modern horror, he validated it.","[horror,mysteryandthriller]"
147,rotten tomatoes,48, Once Upon a Time In Hollywood,8.5,"The brilliantly well-rounded Zootopia offers a thoughtful, inclusive message that's as rich and timely as its sumptuously state-of-the-art animation -- all while remaining fast and funny enough to keep younger viewers entertained.","[adventure,animation,kidsandfamily,comedy]"
148,rotten tomatoes,49, Boyhood,9.7,"Arguably the greatest movie about Hollywood, Billy Wilder's masterpiece Sunset Boulevard is a tremendously entertaining combination of noir, black comedy, and character study.",[drama]
149,rotten tomatoes,50, King Kong,9.8,"Packed with action and populated by both familiar faces and fresh blood, The Force Awakens successfully recalls the series' former glory while injecting it with renewed energy.","[fantasy,adventure,scifi,action]"
